Label	subjectText	subjectType
cis-prenyl diphosphate-utilizing	cis-prenyl diphosphate-utilizing	Gene_or_Protein
CKI-1	CKI-1	Gene_or_Protein
CLE	CLE	Gene_or_Protein
clv3-2	clv3-2	Gene_or_Protein
CM	CM	Gene_or_Protein
CmCCD4a	CmCCD4a	Gene_or_Protein
cobalamin-	cobalamin-	Gene_or_Protein
copal-8-ol diphosphate synthase	copal-8-ol diphosphate synthase	Gene_or_Protein
CPC	CPC	Gene_or_Protein
CPT2	CPT2	Gene_or_Protein
CRF	CRF	Gene_or_Protein
crtB	crtB	Gene_or_Protein
crtI	crtI	Gene_or_Protein
CrtISO	CrtISO	Gene_or_Protein
CrtR-b1	CrtR-b1	Gene_or_Protein
crtRB-2	crtRB-2	Gene_or_Protein
CrtR-b2	CrtR-b2	Gene_or_Protein
CrtY	CrtY	Gene_or_Protein
CrtZ-2	CrtZ-2	Gene_or_Protein
cry1	cry1	Gene_or_Protein
cry1Ba1	cry1Ba1	Gene_or_Protein
cry2	cry2	Gene_or_Protein
cry2Aa2	cry2Aa2	Gene_or_Protein
crylAc9	crylAc9	Gene_or_Protein
CsMYBF1	CsMYBF1	Gene_or_Protein
csr1	csr1	Gene_or_Protein
CTR1	CTR1	Gene_or_Protein
ctr1-1	ctr1-1	Gene_or_Protein
cutin	cutin	Gene_or_Protein
CYC-B	CYC-B	Gene_or_Protein
cyclase	cyclase	Gene_or_Protein
cyclin	cyclin	Gene_or_Protein
cyclin-C	cyclin-C	Gene_or_Protein
cyclinD1	cyclinD1	Gene_or_Protein
cyclin-dependent kinase	cyclin-dependent kinase	Gene_or_Protein
cyclodextrin glycosyltransferase	cyclodextrin glycosyltransferase	Gene_or_Protein
cyclophilin	cyclophilin	Gene_or_Protein
CYP707A1	CYP707A1	Gene_or_Protein
CYP710A1	CYP710A1	Gene_or_Protein
CYP71BN1	CYP71BN1.	Gene_or_Protein
CYP734A7	CYP734A7	Gene_or_Protein
CYP75A31	CYP75A31	Gene_or_Protein
cysE	cysE	Gene_or_Protein
cystathionine gamma-synthase	cystathionine gamma-synthase	Gene_or_Protein
cysteine protease	cysteine protease	Gene_or_Protein
cytochrome P450	cytochrome P450	Gene_or_Protein
cytokinin oxidase	cytokinin oxidase	Gene_or_Protein
cytophaga-flavobacteria-bacteroides	cytophaga-flavobacteria-bacteroides	Gene_or_Protein
cytosolic transglucosidase	cytosolic transglucosidase	Gene_or_Protein
DDB1	DDB1	Gene_or_Protein
dehydrogenase1	dehydrogenase1	Gene_or_Protein
Del	Del	Gene_or_Protein
deoxyhypusine synthase	deoxyhypusine synthase	Gene_or_Protein
deoxyxylulose 5-phosphate synthase	deoxyxylulose 5-phosphate synthase	Gene_or_Protein
DET1	DET1	Gene_or_Protein
Dgt	Dgt	Gene_or_Protein
DIAGEOTROPICA	DIAGEOTROPICA	Gene_or_Protein
dihydroflavonol 4-reductase	dihydroflavonol 4-reductase	Gene_or_Protein
DIHYDROFLAVONOL REDUCTASE	DIHYDROFLAVONOL REDUCTASE	Gene_or_Protein
diterpene synthase	diterpene synthase	Gene_or_Protein
diterpene synthase	diterpene synthases	Gene_or_Protein
dnaJ	dnaJ	Gene_or_Protein
dominantChy2	dominantChy2	Gene_or_Protein
DPE2	DPE2	Gene_or_Protein
DREB	DREB	Gene_or_Protein
